location,facilities,
Kuala Lumpur  Taman Desa,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Security, Playground, Parking, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , , Near KTM/LRT"
Kuala Lumpur  Ampang,Parking,
Kuala Lumpur  Sentul,"Security, Swimming Pool, Squash Court, Playground, Gymnasium, Minimart, Parking, Lift, Sauna, Barbeque area, Club house, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Sungai Besi,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Gymnasium, Sauna, Barbeque area",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , "
Kuala Lumpur  Kepong,"Swimming Pool, Playground, Parking, Security",
Kuala Lumpur  Cheras,"Multipurpose hall, Security, Sauna, Club house, Parking, Playground, Gymnasium, Jogging Track, Barbeque area, Lift, Swimming Pool, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Bintang,"Gymnasium, Sauna, Squash Court, Swimming Pool, Security, Lift, Playground, Minimart, Multipurpose hall, Barbeque area, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Bintang,"Parking, Playground, Jogging Track, Gymnasium, Security, Lift, Swimming Pool, Sauna, Minimart, Multipurpose hall, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Parking, Gymnasium, Swimming Pool, Minimart, Playground, Tennis Court, Lift",", , "
Kuala Lumpur  Bukit Bintang,"Parking, Playground, Jogging Track, Gymnasium, Lift, Swimming Pool, Security, Sauna, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift",", "
Kuala Lumpur  Bukit Jalil,"Multipurpose hall, Parking, Playground, Swimming Pool, Security",", , "
Kuala Lumpur  KLCC,"Parking, Playground, Security, Sauna, Swimming Pool, Gymnasium",", Near KTM/LRT, , "
Kuala Lumpur  Bukit Bintang,"Squash Court, Sauna, Swimming Pool, Gymnasium, Lift, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Sentul,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track",", "
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Cheras,"Playground, Minimart, Gymnasium, Security, Sauna, Parking, Lift, Swimming Pool, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Kuchai Lama,"Lift, Security, Parking",", , Near KTM/LRT"
Kuala Lumpur  Jalan Kuching,,", , Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Barbeque area, Squash Court, Security, Playground, Swimming Pool, Gymnasium, Parking, Tennis Court, Sauna",", "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Ampang Hilir,"Sauna, Jogging Track, Security, Swimming Pool",", , , "
Kuala Lumpur  Jalan Kuching,"Swimming Pool, Playground, Tennis Court, Sauna, Minimart, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Gymnasium, Playground, Swimming Pool, Squash Court, Minimart, Parking, Security, Lift, Barbeque area",", , "
Kuala Lumpur  Kepong,"Swimming Pool, Barbeque area, Club house, Jogging Track, Lift, Multipurpose hall, Playground, Tennis Court, Squash Court, Sauna, Parking, Security, Minimart, Gymnasium",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground",", , "
Kuala Lumpur  Sentul,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall",
Kuala Lumpur  Kuchai Lama,"Sauna, Jogging Track, Security, Playground, Gymnasium, Multipurpose hall, Parking, Swimming Pool",
Kuala Lumpur  Kepong,"Swimming Pool, Barbeque area, Club house, Jogging Track, Lift, Multipurpose hall, Playground, Tennis Court, Squash Court, Sauna, Parking, Security, Minimart, Gymnasium",
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Playground, Barbeque area, Multipurpose hall, Security, Swimming Pool, Parking, Gymnasium, Jogging Track, Sauna, Lift",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Minimart, Playground, Swimming Pool, Security, Parking, Gymnasium",
Kuala Lumpur  Sentul,"Swimming Pool, Minimart, Parking, Playground, Security, Tennis Court, Squash Court, Jogging Track, Lift, Gymnasium, Barbeque area",", , "
Kuala Lumpur  Ampang,,
Kuala Lumpur  KL City,"Playground, Security, Parking, Minimart",", "
Kuala Lumpur  Setapak,"Parking, Security, Playground, Minimart, Lift",", , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Security, Playground, Multipurpose hall, Parking",
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Parking",
Kuala Lumpur  Wangsa Maju,"Security, Minimart, Swimming Pool, Jogging Track, Parking, Playground, Gymnasium, Squash Court",
Kuala Lumpur  Cheras,"Barbeque area, Jogging Track, Multipurpose hall, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",", , Near KTM/LRT"
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Tennis Court, Minimart, Playground, Jogging Track, Security, Lift, Barbeque area, Multipurpose hall, Squash Court, Parking",", , Near KTM/LRT, , "
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 10, 11, Lift, Parking",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Playground, Jogging Track",
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Squash Court, Minimart, Playground, Jogging Track, Security, 10, 11",", , Near KTM/LRT, , "
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, Lift, Parking, Barbeque area, Multipurpose hall, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Tennis Court, Minimart, Playground, Jogging Track, Security, 10, 11",", , Near KTM/LRT, , "
Kuala Lumpur  Pandan Perdana,"Swimming Pool, Gymnasium, Tennis Court, Minimart, Playground, Jogging Track, Security, 10, 11",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Squash Court, Lift, Parking, Minimart, Gymnasium, Security, Playground, Swimming Pool, Club house, Jogging Track, Barbeque area, Multipurpose hall, Sauna",", "
Kuala Lumpur  Taman Desa,"Security, Swimming Pool, Gymnasium, Lift, Parking, Playground, Minimart, Barbeque area, Jogging Track, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Squash Court, Parking, Security, Swimming Pool, Gymnasium",
Kuala Lumpur  Setapak,"Parking, Lift, Swimming Pool, Security, Minimart",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Squash Court, Tennis Court",", , "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Cheras,"Security, Tennis Court, Jogging Track, Swimming Pool, Sauna, Parking, Playground, Barbeque area, Minimart, Gymnasium, Lift",", , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Playground, Gymnasium, Parking, Minimart, Security, Lift, Multipurpose hall, Barbeque area, Jogging Track",
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Squash Court, Jogging Track, Parking, Playground, Security, Minimart, Gymnasium",
Kuala Lumpur  Kepong,"Jogging Track, Lift, Minimart",", Near KTM/LRT"
Kuala Lumpur  Kepong,"Parking, Security, Lift",
Kuala Lumpur  Cheras,"Gymnasium, Lift, Parking, Swimming Pool, Playground, Barbeque area, Security, Jogging Track, Sauna, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Playground, Parking, Swimming Pool, Tennis Court, Sauna, Security, Gymnasium, Squash Court, Barbeque area, Minimart",
Kuala Lumpur  Cheras,"Swimming Pool, Parking, Security, Gymnasium, Playground, Lift, Barbeque area",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Playground, Lift, Gymnasium, Security, Parking, Swimming Pool, Sauna, Minimart",", Near KTM/LRT"
Kuala Lumpur  Bukit Bintang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", Near KTM/LRT, "
Kuala Lumpur  Sungai Besi,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , "
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Titiwangsa,"Security, Playground, Tennis Court, Squash Court, Swimming Pool, Gymnasium, Barbeque area, Lift, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Pandan Indah,"Security, Playground, Parking",
Kuala Lumpur  Pantai,"Minimart, Security, Swimming Pool, Multipurpose hall, Playground, Parking, Lift, Barbeque area",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Security, Parking, Lift, Swimming Pool, Playground, Gymnasium",
Kuala Lumpur  Setapak,"Parking, Lift, Security, Swimming Pool, Playground, Gymnasium",
Kuala Lumpur  Segambut,"Parking, Playground, Jogging Track, Barbeque area, Club house, Gymnasium, Security, Swimming Pool, Squash Court, Sauna, Multipurpose hall, Lift",", "
Kuala Lumpur  Old Klang Road,"Barbeque area, Gymnasium, Sauna, Security, Swimming Pool, Playground, Multipurpose hall, Lift",", , "
Kuala Lumpur  Sentul,"Security, Barbeque area, Jogging Track, Parking, Playground, Gymnasium, Swimming Pool, Multipurpose hall, Lift, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Security, Barbeque area, Jogging Track, Parking, Playground, Gymnasium, Swimming Pool, Multipurpose hall, Lift, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",
Kuala Lumpur  Ampang,"Barbeque area, Sauna, Tennis Court, Gymnasium, Parking, Security, Swimming Pool",", , "
Kuala Lumpur  Keramat,"Swimming Pool, Tennis Court, Parking, Gymnasium, Lift, Security, Playground, Sauna, Minimart, Squash Court",
Kuala Lumpur  Keramat,"Security, Sauna, Minimart, Swimming Pool, Gymnasium, Tennis Court, Lift, Playground, Squash Court, Parking",", "
Kuala Lumpur  Bangsar,"Parking, Playground, Tennis Court, Swimming Pool, Barbeque area, Club house, Gymnasium, Squash Court, Security, Sauna",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",", "
Kuala Lumpur  Setapak,"Security, Lift, Playground",
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track, Club house, Sauna, Barbeque area, Minimart",", , , "
Kuala Lumpur  Taman Desa,"Playground, Multipurpose hall, Security, Parking, Swimming Pool, Lift, Jogging Track",", "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court",", Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Minimart, Playground, Squash Court, Swimming Pool, Gymnasium, Lift",", , "
Kuala Lumpur  Cheras,"Gymnasium, Parking, Security, Swimming Pool, Minimart, Playground, Lift, Multipurpose hall",", "
Kuala Lumpur  Ampang,,
Kuala Lumpur  Seputeh,"Swimming Pool, Security, Lift",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track, Club house, Sauna, Barbeque area, Minimart",", , , "
Kuala Lumpur  Bukit Jalil,"Parking, Gymnasium, Security, Lift, Barbeque area, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track, Club house, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Minimart, Playground, Barbeque area, Swimming Pool, Sauna, Security, Gymnasium, Parking, Club house, Lift",", , "
Kuala Lumpur  Kepong,"Minimart, Jogging Track, Playground, Lift",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Barbeque area",", "
Kuala Lumpur  Sri Damansara,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Squash Court",", , "
Kuala Lumpur  Cheras,"Minimart, Parking, Security, Swimming Pool","Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Jogging Track, Playground, Squash Court, Parking, Security, Minimart, Swimming Pool, Gymnasium",
Kuala Lumpur  KLCC,"Parking, Security",", , "
Kuala Lumpur  Desa Pandan,"Gymnasium, Parking, Minimart, Playground, Security, Lift, Swimming Pool, Jogging Track, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Security, Parking",", , Near KTM/LRT, , "
Kuala Lumpur  Segambut,"Security, Swimming Pool, Sauna, Parking, Gymnasium, Playground, Jogging Track, Lift, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Jogging Track, Playground, Squash Court, Parking, Security, Minimart, Swimming Pool, Gymnasium",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Pantai,,
Kuala Lumpur  Setapak,"Parking, Minimart, Lift, Security, Swimming Pool, Playground, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Cheras,"Parking, Playground, Minimart, Barbeque area, Swimming Pool, Gymnasium, Security, Lift",", Near KTM/LRT"
Kuala Lumpur  KLCC,"Jogging Track, Tennis Court, Playground, Swimming Pool, Gymnasium, Minimart, Security, Squash Court, Parking",
Kuala Lumpur  Sri Hartamas,"Gymnasium, Parking, Club house, Security, Swimming Pool, Multipurpose hall",
Kuala Lumpur  Cheras,"Parking, Security",", Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Sauna, Swimming Pool, Parking, Security, Playground, Minimart, Barbeque area, Gymnasium, Tennis Court",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Parking, Lift, Playground, Minimart",
Kuala Lumpur  Jinjang,"Lift, Playground, Minimart",
Kuala Lumpur  Cheras,"Security, Minimart, Tennis Court, Parking, Playground, Swimming Pool, Gymnasium",", , Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Playground, Parking, Security",Near KTM/LRT
Kuala Lumpur  Mont Kiara,"Parking, Minimart, Playground, Tennis Court, Jogging Track, Gymnasium, Security, Swimming Pool, Barbeque area, Sauna, Squash Court",", , "
Kuala Lumpur  Sungai Besi,"Security, Swimming Pool, Parking, Gymnasium, Jogging Track",", , , Near KTM/LRT, "
Kuala Lumpur  Taman Desa,Playground,
Kuala Lumpur  Mont Kiara,"Jogging Track, Gymnasium, Tennis Court, Barbeque area, Swimming Pool, Playground, Squash Court, Sauna, Parking, Minimart, Security",
Kuala Lumpur  Cheras,"Sauna, Security, Gymnasium, Playground, Swimming Pool, Parking, Barbeque area",", Near KTM/LRT, , , "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Playground, Squash Court, Security, Gymnasium, Tennis Court, Parking, Swimming Pool, Minimart, Sauna",", , , "
Kuala Lumpur  Mont Kiara,,", , Near KTM/LRT, , "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Gombak,,
Kuala Lumpur  Bangsar South,"Jogging Track, Parking, Minimart",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Multipurpose hall",", , "
Kuala Lumpur  KLCC,"Tennis Court, Sauna, Gymnasium, Barbeque area, Security, Playground, Swimming Pool, Parking, Club house, Lift",", , "
Kuala Lumpur  Cheras,"Parking, Barbeque area, Playground, Swimming Pool, Lift, Security, Jogging Track, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Security, Parking, Lift",", "
Kuala Lumpur  Cheras,"Swimming Pool, Gymnasium, Parking, Security, Playground, Lift, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Cheras,,
Kuala Lumpur  Sentul,"Parking, Security, Sauna, Minimart, Playground, Swimming Pool, Barbeque area, Club house, Jogging Track",
Kuala Lumpur  Sentul,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall",
Kuala Lumpur  Bukit Jalil,"Parking, Lift, Playground, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Desa Pandan,"Security, Multipurpose hall, Swimming Pool, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Desa Pandan,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bandar Menjalara,"Parking, Swimming Pool, Gymnasium, Squash Court, Multipurpose hall, Jogging Track, Security, Tennis Court, Sauna, Lift, Barbeque area, Playground",", "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court",
Kuala Lumpur  Wangsa Maju,"Playground, Parking, Security, Barbeque area, Lift, Minimart",
Kuala Lumpur  Ampang,"Sauna, Security, Multipurpose hall, Playground, Jogging Track, Gymnasium, Barbeque area, Swimming Pool",", , "
Kuala Lumpur  Setapak,"Parking, Squash Court, Barbeque area, Sauna, Tennis Court, Lift, Security, Minimart, Playground, Swimming Pool, Gymnasium, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Ampang,"Parking, Swimming Pool, Gymnasium, Security","Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Security, Swimming Pool, Parking, Gymnasium, Barbeque area, Minimart, Playground",", Near KTM/LRT, "
Kuala Lumpur  Ampang,"Parking, Playground, Swimming Pool, Minimart, Security",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Gymnasium, Barbeque area, Parking, Swimming Pool, Sauna, Security, Playground","Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Gymnasium, Barbeque area, Security, Playground, Swimming Pool, Sauna","Near KTM/LRT, "
Kuala Lumpur  Sentul,"Minimart, Tennis Court, Multipurpose hall, Swimming Pool, Security, Jogging Track, Playground, Gymnasium",
Kuala Lumpur  Ampang,"Security, Playground, Parking, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Jogging Track, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Playground, Parking, Barbeque area, Security, Swimming Pool",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Lift, Security, Swimming Pool, Jogging Track, Playground, Gymnasium",", "
Kuala Lumpur  Setapak,"Playground, Parking, Swimming Pool, Tennis Court, Sauna, Security, Gymnasium, Squash Court, Barbeque area, Minimart",
Kuala Lumpur  Kepong,"Parking, Playground, Minimart, Security",
Kuala Lumpur  Ampang,"Barbeque area, Jogging Track, Sauna, Security, Playground, Gymnasium, Swimming Pool, Multipurpose hall",", "
Kuala Lumpur  Ampang,"Gymnasium, Parking, Playground, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Jogging Track, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  OUG,,
Kuala Lumpur  Setapak,"Sauna, Jogging Track, Barbeque area, Gymnasium, Security, Playground, Parking, Swimming Pool, Multipurpose hall","Near KTM/LRT, "
Kuala Lumpur  Sentul,"Parking, Minimart, Gymnasium, Squash Court, Swimming Pool, Security, Playground",", , , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Club house, Tennis Court",", , "
Kuala Lumpur  Old Klang Road,Tennis Court,
Kuala Lumpur  Jalan Kuching,"Playground, Tennis Court, Minimart, Gymnasium, Sauna, Swimming Pool, Security, Lift",", "
Kuala Lumpur  Setapak,"Sauna, Parking, Minimart, Tennis Court, Gymnasium, Lift, Club house, Security, Playground, Swimming Pool, Squash Court, Multipurpose hall, Barbeque area",
Kuala Lumpur  Taman Desa,"Security, Playground, Sauna, Parking, Minimart, Swimming Pool, Gymnasium, Squash Court, Tennis Court",
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Minimart, Club house, Jogging Track, Squash Court, Tennis Court",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Sauna, Playground, Gymnasium, Security, Minimart, Parking, Lift, Swimming Pool",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Swimming Pool, Security, Minimart, Parking, Lift",", , "
Kuala Lumpur  Cheras,"Sauna, Playground, Gymnasium, Security, Minimart",
Kuala Lumpur  Kuchai Lama,"Gymnasium, Security, Lift, Playground, Swimming Pool, Parking, Jogging Track, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Security, Minimart, Playground, Swimming Pool, Parking, Gymnasium, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Parking, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Sauna, Playground, Tennis Court, Lift",", , "
Kuala Lumpur  Cheras,"Swimming Pool, Security, Minimart, Parking, Lift",", "
Kuala Lumpur  Kepong,"Parking, Security, Lift",
Kuala Lumpur  Bangsar South,"Parking, Security, Playground, Gymnasium, Lift, Swimming Pool, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Jalan Kuching,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Club house, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Bintang,"Parking, Gymnasium, Playground, Jogging Track, Lift, Swimming Pool, Security, Sauna, Minimart, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Parking, Playground, Security, Sauna, Gymnasium",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Near KTM/LRT
Kuala Lumpur  Kepong,"Parking, Security, Lift",
Kuala Lumpur  Kepong,"Playground, Barbeque area, Swimming Pool, Gymnasium, Lift, Sauna, Multipurpose hall, Parking, Security",", , Near KTM/LRT, "
Kuala Lumpur  Bangsar South,"Parking, Security, Playground, Gymnasium, Lift, Swimming Pool, Squash Court","Near KTM/LRT, , , , "
Kuala Lumpur  Bangsar South,"Parking, Security, Playground, Gymnasium, Lift, Swimming Pool, Squash Court",", Near KTM/LRT, , "
Kuala Lumpur  KLCC,"Squash Court, Playground, Tennis Court, Security, Barbeque area, Sauna, Parking, Gymnasium, Swimming Pool, Lift, Multipurpose hall, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",", , , "
Kuala Lumpur  Sentul,"Multipurpose hall, Security, Playground, Swimming Pool, Gymnasium, Parking, Jogging Track, Barbeque area, Sauna, Lift, Minimart",
Kuala Lumpur  Keramat,"Squash Court, Security, Playground, Parking, Minimart, Tennis Court, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Bangsar South,"Sauna, Security, Gymnasium, Barbeque area, Multipurpose hall, Parking, Playground, Swimming Pool",", , Near KTM/LRT, , "
Kuala Lumpur  Bangsar South,"Parking, Swimming Pool, Barbeque area",", , , Near KTM/LRT"
Kuala Lumpur  Sri Damansara,"Tennis Court, Playground, Swimming Pool, Gymnasium, Squash Court, Club house, Security, Sauna, Lift, Parking, Minimart",", , , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Playground",", Near KTM/LRT"
Kuala Lumpur  Jalan Kuching,"Barbeque area, Tennis Court, Swimming Pool, Sauna, Minimart, Playground, Gymnasium, Jogging Track, Security",
Kuala Lumpur  Kuchai Lama,"Parking, Swimming Pool, Barbeque area, Security, Minimart, Playground, Sauna, Gymnasium, Tennis Court, Squash Court, Lift, Jogging Track, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Bukit Bintang,"Gymnasium, Sauna, Swimming Pool, Squash Court, Lift, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Serdang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",
Kuala Lumpur  Kuchai Lama,"Parking, Swimming Pool, Barbeque area, Security, Minimart, Playground, Sauna, Gymnasium, Tennis Court, Squash Court, Lift, Multipurpose hall, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Bandar Tasik Selatan,"Parking, Playground, Security, Lift",", Near KTM/LRT"
Kuala Lumpur  Jalan Kuching,"Parking, Security",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Minimart, Parking, Security, Multipurpose hall",
Kuala Lumpur  Kepong,"Security, Parking, Swimming Pool, Playground, Gymnasium",", "
