location,facilities,
Kuala Lumpur  Setapak,"Playground, Parking, Security, Lift",
Kuala Lumpur  Bangsar,"Parking, Security, Swimming Pool, Playground, Gymnasium, Lift, Minimart, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Swimming Pool, Playground, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall, Minimart, Jogging Track, Swimming Pool, Gymnasium",", Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",", "
Kuala Lumpur  Jalan Ipoh,,
Kuala Lumpur  Bangsar South,Minimart,", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Gymnasium, Security, Lift, Swimming Pool, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Setapak,,", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Playground, Swimming Pool, Jogging Track, Barbeque area, Lift, Security, Tennis Court, Multipurpose hall, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  KL City,Parking,Near KTM/LRT
Kuala Lumpur  Kepong,"Security, Minimart, Jogging Track, Parking, Swimming Pool, Lift, Playground",
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Kepong,"Security, Minimart, Playground, Squash Court, Jogging Track, Lift, Parking, Swimming Pool, Tennis Court, Gymnasium",
Kuala Lumpur  Pandan Indah,"Parking, Security",", , Near KTM/LRT, "
Kuala Lumpur  Taman Desa,"Security, Minimart, Swimming Pool, Squash Court, Lift, Parking, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Playground, Barbeque area, Parking, Security, Swimming Pool, Tennis Court, Lift, Gymnasium, Sauna, Multipurpose hall",", , , "
Kuala Lumpur  Desa Pandan,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",", , "
Kuala Lumpur  Cheras,"Swimming Pool, Gymnasium, Barbeque area, Security, Playground, Lift, Jogging Track, Parking",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Sauna, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Security",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Security, Parking, Lift, Swimming Pool, Playground, Minimart, Gymnasium",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Bintang,"Sauna, Playground, Gymnasium, Swimming Pool, Parking, Squash Court, Security, Barbeque area",", , , "
Kuala Lumpur  Cheras,"Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area",
Kuala Lumpur  Cheras,"Swimming Pool, Jogging Track, Barbeque area, Security, Playground, Lift, Parking, Gymnasium, Sauna, Minimart, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Minimart, Barbeque area, Parking, Swimming Pool, Gymnasium, Lift, Sauna, Playground, Security, Jogging Track",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Bangsar South,"Club house, Playground, Parking, Security, Swimming Pool",
Kuala Lumpur  Pandan Jaya,"Parking, Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Club house",", , Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Damansara Heights,"Parking, Sauna, Security, Gymnasium, Minimart, Swimming Pool, Barbeque area, Lift, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Security, Playground, Multipurpose hall, Parking, Lift",", "
Kuala Lumpur  Cheras,"Security, Playground, Swimming Pool, Parking, Tennis Court, Jogging Track, Lift, Barbeque area, Multipurpose hall, Gymnasium, Sauna, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Bandar Damai Perdana,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",", , "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Parking, Minimart, Club house, Swimming Pool, Sauna, Security, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Cheras,,", , Near KTM/LRT"
Kuala Lumpur  Segambut,"Jogging Track, Parking, Gymnasium, Swimming Pool, Multipurpose hall, Sauna, Security, Playground, Barbeque area, Minimart, Lift",", , "
Kuala Lumpur  Sungai Besi,"Lift, Multipurpose hall, Security, Parking, Swimming Pool",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium, Jogging Track, Tennis Court",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Tennis Court, Barbeque area, Jogging Track, Multipurpose hall, Swimming Pool, Parking, Security, Playground, Lift",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Minimart, Multipurpose hall, Security, Lift",", Near KTM/LRT"
Kuala Lumpur  Jalan Kuching,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",
Kuala Lumpur  Jalan Kuching,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",", "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Tennis Court",", , Near KTM/LRT"
Kuala Lumpur  Kuchai Lama,"Playground, Security, Lift, Parking",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Lift, Playground, Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Playground, Security, Minimart, Jogging Track, Parking, Swimming Pool, Gymnasium, Lift",
Kuala Lumpur  Bukit Jalil,"Minimart, Playground, Security, Barbeque area, Parking, Jogging Track, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",", , "
Kuala Lumpur  Desa Pandan,"Jogging Track, Parking, Security, Lift, Minimart, Playground, Sauna, Swimming Pool, Gymnasium",", , "
Kuala Lumpur  Cheras,,", , , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",
Kuala Lumpur  Cheras,Parking,", , Near KTM/LRT, , "
Kuala Lumpur  Old Klang Road,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 11, Lift, Parking",", , Near KTM/LRT, "
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift, Swimming Pool, Playground",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Gymnasium, Club house, Minimart","Near KTM/LRT, , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Security, Parking",
Kuala Lumpur  Setapak,"Parking, Security, Playground",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,,", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Security, Minimart, Playground, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Security, Gymnasium, Playground, Lift, Parking, Minimart",", , "
Kuala Lumpur  Wangsa Maju,,"Near KTM/LRT, "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Security, Club house, Parking, Minimart, Swimming Pool, Barbeque area, Sauna, Playground, Gymnasium",
Kuala Lumpur  Setapak,,
Kuala Lumpur  Titiwangsa,"Barbeque area, Security, Playground, Gymnasium, Swimming Pool, Jogging Track, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Playground, Swimming Pool, Jogging Track, Parking, Security, Barbeque area, Lift",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Minimart, Parking, Security, Lift, Swimming Pool, Playground, Club house, Tennis Court",", "
Kuala Lumpur  Ampang,"Playground, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court",
Kuala Lumpur  Cheras,,", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Minimart, Playground, Swimming Pool, Gymnasium, Tennis Court, Sauna, Parking, Security, Lift, Barbeque area, Multipurpose hall, Club house",", , "
Kuala Lumpur  Titiwangsa,"Gymnasium, Playground, Multipurpose hall, Barbeque area, Security, Swimming Pool, Parking, Lift, Minimart, Tennis Court",", , Near KTM/LRT"
Kuala Lumpur  Bandar Tasik Selatan,"Parking, Security, Lift",", Near KTM/LRT, , "
